	SRR21492517_R1_filtered.fastq.gz	SRR21492518_R1_filtered.fastq.gz	SRR21492519_R1_filtered.fastq.gz	SRR21492520_R1_filtered.fastq.gz	SRR21492521_R1_filtered.fastq.gz	SRR21492522_R1_filtered.fastq.gz	SRR21492523_R1_filtered.fastq.gz	SRR21492524_R1_filtered.fastq.gz	SRR21492525_R1_filtered.fastq.gz	SRR21492526_R1_filtered.fastq.gz	SRR21492527_R1_filtered.fastq.gz	SRR21492528_R1_filtered.fastq.gz	SRR21492529_R1_filtered.fastq.gz	SRR21492530_R1_filtered.fastq.gz	SRR21492531_R1_filtered.fastq.gz	SRR21492532_R1_filtered.fastq.gz	SRR21492533_R1_filtered.fastq.gz	SRR21492534_R1_filtered.fastq.gz	SRR21492535_R1_filtered.fastq.gz	SRR21492536_R1_filtered.fastq.gz	SRR21492537_R1_filtered.fastq.gz	SRR21492538_R1_filtered.fastq.gz	SRR21492539_R1_filtered.fastq.gz	SRR21492540_R1_filtered.fastq.gz	SRR21492541_R1_filtered.fastq.gz	SRR21492542_R1_filtered.fastq.gz	SRR21492543_R1_filtered.fastq.gz	SRR21492544_R1_filtered.fastq.gz	SRR21492545_R1_filtered.fastq.gz	SRR21492546_R1_filtered.fastq.gz	SRR21492547_R1_filtered.fastq.gz	SRR21492548_R1_filtered.fastq.gz	SRR21492549_R1_filtered.fastq.gz	SRR21492550_R1_filtered.fastq.gz	SRR21492551_R1_filtered.fastq.gz
ASV_97	643	20	0	0	0	0	29	0	12	105	22	0	0	0	0	25	156	71	339	14	0	187	0	33	0	392	679	162	43	317	36	0	721	0	0
ASV_98	105	0	0	0	0	0	0	0	35	0	0	0	631	472	0	0	0	49	0	0	1873	0	0	0	0	45	105	0	99	0	499	46	0	0	0
ASV_99	631	178	57	0	0	0	268	0	80	0	93	0	526	0	104	31	82	148	0	423	467	57	0	30	35	252	0	305	64	0	0	107	0	0	0
ASV_100	156	0	82	0	0	0	268	0	0	0	400	0	171	0	0	0	0	0	0	4	403	173	0	0	866	546	0	422	131	0	0	276	0	0	0
ASV_101	136	162	170	0	0	0	126	60	40	151	128	4	0	124	114	45	86	0	231	70	67	224	0	220	67	247	98	159	260	311	165	108	299	0	0
ASV_102	81	83	101	0	0	0	88	31	135	36	100	0	151	67	211	409	178	304	98	105	560	52	0	108	63	180	253	105	74	57	76	41	115	0	0
ASV_103	99	151	37	0	0	0	155	86	124	71	0	0	668	0	208	91	0	139	75	0	984	0	0	39	0	0	103	360	334	0	60	0	72	0	0
ASV_104	224	146	142	0	0	0	280	470	94	69	71	0	191	11	81	163	75	22	117	109	346	100	5	26	11	70	243	209	153	0	23	230	110	13	0
ASV_105	0	0	0	0	0	0	20	0	44	24	0	0	0	263	353	0	0	617	0	0	0	35	0	42	0	0	2268	9	101	0	0	0	0	0	0
ASV_106	27	2	3	0	0	0	207	14	42	16	88	0	62	146	66	71	560	585	0	294	353	15	8	23	5	107	397	285	87	6	182	39	64	0	0
ASV_107	0	0	80	0	0	0	150	0	144	0	0	0	107	0	324	397	223	160	75	518	0	40	0	476	0	94	0	200	746	0	0	0	0	0	0
ASV_108	0	20	88	0	0	0	286	19	444	0	59	0	71	56	89	452	415	98	76	96	76	71	0	143	0	83	125	392	160	46	101	0	43	0	0
ASV_109	111	142	56	0	0	0	35	29	31	54	0	0	59	35	58	49	0	0	17	268	871	0	0	59	315	147	643	0	57	22	203	40	177	0	0
ASV_110	37	0	116	0	0	465	0	21	0	0	50	4	0	0	0	0	0	0	0	0	0	0	2293	0	192	0	0	21	16	0	44	31	125	0	0
ASV_111	0	0	0	171	54	129	0	0	0	125	0	0	0	73	0	0	0	0	81	0	0	0	0	60	181	0	0	0	0	541	917	685	398	0	0
ASV_112	179	371	0	0	0	0	9	41	0	161	235	0	0	639	156	92	385	39	0	52	65	72	0	41	136	0	0	30	427	37	107	0	114	0	0
ASV_113	0	0	72	0	0	0	138	42	73	0	71	0	86	0	123	1195	23	154	0	167	521	44	0	113	18	0	208	145	66	18	88	0	0	0	12
